facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
FK DAC 1904 Dunajská Streda,103771222995395,3402,0,Sports Team,https://www.facebook.com/pages/FK-DAC-1904-Dunajsk%C3%A1-Streda/103771222995395
Debreceni VSC (DVSC; Loki),303507287385,4532,42,Local Business,https://www.facebook.com/DebreceniVSC/
Real Club Deportivo de La Coruña,128412400518120,386465,10191,Sports Team,https://www.facebook.com/RCDeportivo/
Dijon FCO,114572538558859,946,0,Interest,https://www.facebook.com/pages/Dijon-FCO/114572538558859
FC DINAMO BUCURESTI,160733860647517,429026,20557,Sports Team,https://www.facebook.com/FCDinamoOfficial/
Dinamo Kiev,101892113186386,3100,0,Interest,https://www.facebook.com/pages/Dinamo-Kiev/101892113186386
GNK Dinamo Zagreb,118249691582138,541225,11597,Sports Team,https://www.facebook.com/dinamo/
Diósgyőri VTK (DVTK),129048307154913,60727,2776,Sports Team,https://www.facebook.com/DVTK1910/
Djurgårdens IF,12228681353,127508,7880,Sports Team,https://www.facebook.com/DJURGARDEN/
Полк Дніпро-1,1485326845082813,72239,285,Government Organization,https://www.facebook.com/polk.dnipro1/
Dundee United F.C.,103109299729217,16514,0,Sports Team,https://www.facebook.com/pages/Dundee-United-FC/103109299729217
Nicolas Benezet 10 - EA Guingamp -,280180085534,2745,0,Athlete,https://www.facebook.com/Nicolas-Benezet-10-EA-Guingamp--280180085534/
Eintracht Frankfurt,9504308542,606621,7046,Sports Team,https://www.facebook.com/eintracht/
Empoli Fc Official,1441551352798710,99737,8108,Sports Team,https://www.facebook.com/empolifcofficialpage/
Esbjerg fB,106228969407568,10229,0,Interest,https://www.facebook.com/pages/Esbjerg-fB/106228969407568
RCD Espanyol de Barcelona SAD,322865159833,386412,5736,Sports Team,https://www.facebook.com/RCDEspanyol/
Everton FC - Liverpool Echo,187622507916855,357279,7880,Media/News Company,https://www.facebook.com/LiverpoolEchoEFC/
FC Admira Wacker Mödling,107869249236550,968,0,Interest,https://www.facebook.com/pages/FC-Admira-Wacker-M%C3%B6dling/107869249236550
NaN,NaN,NaN,NaN,NaN,NaN
F.C. Arouca,105517646149759,1729,0,Sports Club,https://www.facebook.com/pages/FC-Arouca/105517646149759
FC Augsburg,39578076993,244784,8047,Sports Team,https://www.facebook.com/FCAugsburg/
FC Barcelona Fans Club,144080752281662,4721875,215998,News/Media Website,https://www.facebook.com/barcafansclub/
FC Botosani - Fotbal Club Botosani,323403915783,16994,534,Sports Team,https://www.facebook.com/FCBotosani/
F.C. Crotone,159119660791615,101058,2663,Sports Team,https://www.facebook.com/F.C.Crotone/
FC Fastav Zlín,1453689781603112,1785,2,Sports Team,https://www.facebook.com/fczlin/
FC Groningen,114665599297,89673,6012,Stadium Arena & Sports Venue,https://www.facebook.com/FCGroningen/
FC HRADEC KRÁLOVÉ,111605212188402,12514,400,Sports Team,https://www.facebook.com/fchradec/
FC Ingolstadt 04,201239353064,85823,2325,Sports Team,https://www.facebook.com/DieSchanzer/
F.C. København,200482237943,212083,22711,Sports Team,https://www.facebook.com/FCKobenhavn/
FC Lorient,129677837090824,250993,2772,Sports Team,https://www.facebook.com/FC-Lorient-129677837090824/
FC Metz,189000507857,203720,4607,Sports Team,https://www.facebook.com/FCMetz/
FC Midtjylland,303017923152146,69078,1573,Sports Team,https://www.facebook.com/fcmidtjylland/
FC Nantes,246075005477935,374850,10374,Professional Sports Team,https://www.facebook.com/fcnantes/
FC Nordsjælland,25774450168,26728,1693,Sports Team,https://www.facebook.com/fcnordsjaelland/
FC Porto,82713049484,4049610,59796,Sports Team,https://www.facebook.com/FCPorto/
FC Schalke 04,8584479036,2889827,59973,Sports Club,https://www.facebook.com/S04/
FC Twente,18799133051,193606,5415,Sports Team,https://www.facebook.com/FCTwente/
Gabala FC GroundsMen,509655369113548,645,4,Biotechnology Company,https://www.facebook.com/gabalafc.groundsmans/
FC Utrecht,181536598533397,66031,6077,Sports Team,https://www.facebook.com/FCUtrecht1970/
FC Viitorul Constanta,176065779097690,7415,16,Community,https://www.facebook.com/FC.Viitorul/
FC Voluntari,474982789263783,7200,313,Sports Team,https://www.facebook.com/VoluntariFC/
FC Zbrojovka Brno,114636851915315,14307,1730,Sports Team,https://www.facebook.com/FCZbrojovkaBrno/
FK AS Trenčín,112504815431799,1192,0,Interest,https://www.facebook.com/pages/FK-AS-Tren%C4%8D%C3%ADn/112504815431799
FK Amkar Perm,164691716927889,10154,0,Sports Team,https://www.facebook.com/pages/FK-Amkar-Perm/164691716927889
FK Dukla Praha,131032204305,10456,250,Sports Team,https://www.facebook.com/FKDuklaPraha/
FK Jablonec,45499005210,9313,177,Sports Team,https://www.facebook.com/FKJablonec/
FK Krasznodar,112701362078336,1327,0,Sports Team,https://www.facebook.com/pages/FK-Krasznodar/112701362078336
FK Mladá Boleslav,119993636676,8572,193,Sports Team,https://www.facebook.com/fk.mlada.boleslav/
FK Rosztov,104114029625946,1231,0,Sports Team,https://www.facebook.com/pages/FK-Rosztov/104114029625946
Futbalová akadémia FK Senica,201469746644168,8562,36,Sports Team,https://www.facebook.com/akademiaFKSenica/
Сталь,844954455597875,81,0,Sports Team,https://www.facebook.com/pages/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C/844954455597875
FK Teplice,110412662305983,10769,1166,Sports Team,https://www.facebook.com/fkteplice/
FK Tom Tomszk,112954898717849,552,0,Sports Team,https://www.facebook.com/pages/FK-Tom-Tomszk/112954898717849
