facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
K Sint-Truidense VV,112631105414673,275,0,Interest,https://www.facebook.com/pages/K-Sint-Truidense-VV/112631105414673
Skoda Xanthi,988550681229557,3490,1,Sports Team,https://www.facebook.com/xanthi.skoda/
Nogometni Klub Slaven Belupo,115365308560022,4587,128,Sports Team,https://www.facebook.com/Nogometni-Klub-Slaven-Belupo-115365308560022/
SK Slavia Praha,317292689230,81409,9771,Arts & Entertainment,https://www.facebook.com/SKSlaviaPrahaFotbal/
HC SLOVAN Bratislava,226601623973,128829,1376,Sports Team,https://www.facebook.com/hcslovan/
FC Slovan Liberec,180176082515,14835,1054,Sports Team,https://www.facebook.com/fcslovanliberec/
Southampton FC,220396037973624,1642987,19497,Sports Team,https://www.facebook.com/southamptonfc/
AC Sparta Praha,93034532067,265044,5954,Stadium, Arena & Sports Venue,https://www.facebook.com/ACSpartaPraha/
Sparta Rotterdam,200218196675058,22387,658,Sports Team,https://www.facebook.com/SpartaRotterdam/
FK Szpartak Moszkva,103123966394945,9007,0,Sports Team,https://www.facebook.com/pages/FK-Szpartak-Moszkva/103123966394945
Spartak Trnava,16970744490,33905,18,Sports Team,https://www.facebook.com/spartak.trnava/
Decathlon Braga,104215469661318,18717,131,Retail Company,https://www.facebook.com/decathlonbraga/
Sporting Brasil,1482881225269544,56200,2552,Sports Team,https://www.facebook.com/SportingCPBr/
Royal Charleroi Sporting Club,404035136366186,38334,2057,Sports Team,https://www.facebook.com/rcsc.be/
Real Sporting de Gijón,257285550951760,283974,8738,Sports Team,https://www.facebook.com/realsportingdegijon/
Sporting Lokeren,154059564614600,19708,583,Sports Team,https://www.facebook.com/SportingLokeren/
St. Johnstone FC,113111302035577,4888,0,Sports Team,https://www.facebook.com/pages/St-Johnstone-FC/113111302035577
STADE RENNAIS F.C. - Les actus RMC.fr,109569528054,3346,14,Media/News Company,https://www.facebook.com/RMCSport.Rennes/
Standard de Liège,957835440957401,189155,2823,Sports Team,https://www.facebook.com/rscl.be/
FC Steaua Bucuresti,159580957391272,1912007,17817,Sports Team,https://www.facebook.com/FCSBOfficial/
Stoke City Football Club,28928779637,1301635,2753,Performance & Event Venue,https://www.facebook.com/stokecity/
SK Sturm Graz,371495513884,108905,4744,Sports Team,https://www.facebook.com/SKSturm/
Sunderland AFC,118389841508479,1712400,11811,Sports Team,https://www.facebook.com/sunderlandafc/
Swansea City Football Club,87328379939,1333833,8921,Sports Team,https://www.facebook.com/SwanseaCityFC/
Szombathelyi Swietelsky-Haladás,147884691946625,13917,866,Sports Team,https://www.facebook.com/SzombathelyiHaladas/
SønderjyskE Fodbold,400669883420449,15909,953,Sports Team,https://www.facebook.com/soenderjyskefodbold/
Handball Team Tatran Presov,43463392097,4568,3,Sports Team,https://www.facebook.com/Handball-Team-Tatran-Presov-43463392097/
Terek Grozny,182952811752774,1342,76,Sports Team,https://www.facebook.com/Terek-Grozny-182952811752774/
Bruk-Bet Termalica Nieciecza KS,135111069854702,32474,1245,Sports Team,https://www.facebook.com/Bruk-Bet-Termalica-Nieciecza-KS-135111069854702/
Torino F.C.,16002319067,71688,23,Sports Team,https://www.facebook.com/Torino-FC-16002319067/
Tottenham Hotspur,351687753504,8346054,254942,Sports Team,https://www.facebook.com/TottenhamHotspur/
Toulouse Football Club,73016258999,387509,4655,Sports Team,https://www.facebook.com/ToulouseFC/
Trabzonspor,121344381230562,954250,14276,Other,https://www.facebook.com/Trabzonspor/
UD Las Palmas Fan Site,166036583760,33254,107,Sports Team,https://www.facebook.com/uniondeportivalaspalmas/
U.S. Città di Palermo,166568983417982,324474,1789,Sports Team,https://www.facebook.com/palermocalcioit/
Udinese Calcio 1896,203723619667632,453488,4754,Sports Team,https://www.facebook.com/UdineseCalcio1896/
Valencia CF,141718485870792,3335951,24700,Sports Team,https://www.facebook.com/ValenciaCF/
ΠΑΕ Βέροια - Veria FC,464573176898795,7168,65,Sports Team,https://www.facebook.com/VeriaFC1960/
VfL Wolfsburg,386992377159,1109683,7015,Sports Team,https://www.facebook.com/vflwolfsburgfussball/
Viborg FF,328986840465780,13844,1670,Sports Team,https://www.facebook.com/viborgff/
Videoton FC,105327719490041,65472,1571,Sports Team,https://www.facebook.com/videotonfc/
FC Viktoria Plzeň,125996923663,92447,5225,Company,https://www.facebook.com/fcviktoria.cz/
Villarreal CF,142247370831,869500,6312,Sports Team,https://www.facebook.com/villarrealcf/
Vitesse,133996489991689,90381,1623,Sports Team,https://www.facebook.com/VitesseArnhem/
Vitória de Guimarães (volleyball),105626806137466,17431,0,Interest,https://www.facebook.com/pages/Vit%C3%B3ria-de-Guimar%C3%A3es-volleyball/105626806137466
Vitória FC,114071775275838,6734,0,Interest,https://www.facebook.com/pages/Vit%C3%B3ria-FC/114071775275838
Художня студія Барва,1594990784095992,5033,513,Professional Service,https://www.facebook.com/artbarva/
FC Vorskla Poltava,107722412583840,349,0,Arts & Entertainment,https://www.facebook.com/pages/FC-Vorskla-Poltava/107722412583840
FC Vysočina Jihlava,99750226885,8188,669,Sports Team,https://www.facebook.com/fcvysocina/
Waasland-Beveren official,142846885822635,11355,291,Sports Team,https://www.facebook.com/waaslandbeveren.official/
Watford FC,21223691814,371027,1833,Sports Team,https://www.facebook.com/watfordfc/
SV Werder Bremen,7642198065,997413,82749,Sports Team,https://www.facebook.com/WerderBremen/
West Bromwich Albion,44784315079,745498,13620,Sports Team,https://www.facebook.com/westbromwichalbionofficial/
West Ham United,129911763708715,2031616,37059,Sports Team,https://www.facebook.com/westhamunited/
Willem II Tilburg,113127638966,35966,3381,Sports Team,https://www.facebook.com/WillemIITilburg/
Wisła Kraków,185885066281,289102,11038,Sports Team,https://www.facebook.com/WislaKrakow/
SPR Wisła Płock,163454273671056,32552,726,Sports Team,https://www.facebook.com/sprwisla/
Wolfsberger AC,281274048627664,34287,734,Sports Team,https://www.facebook.com/WolfsbergerAC/
Zagłębie Lubin,145305868861159,41994,1867,Sports Team,https://www.facebook.com/KGHMZaglebieLubin/
Hulk | Zenit St. Petersburg,384838321586108,2910,3,Athlete,https://www.facebook.com/HulkOfficial.029/
Elvorti - Chervona zirka,142820846168589,999,133,Industrial Company,https://www.facebook.com/elvorti/
Útulok Zlaté Moravce,126292869070,8239,258,Local Business,https://www.facebook.com/Útulok-Zlaté-Moravce-126292869070/
Zorya Lugansk vs Manchester United #live,132750160545465,277,0,Community,https://www.facebook.com/Zorya-Lugansk-vs-Manchester-United-live-132750160545465/
sc Heerenveen,117722941599121,73866,2942,Sports Team,https://www.facebook.com/scheerenveen/
Çaykur Rizespor,294177013987349,298365,1518,Sports Team,https://www.facebook.com/caykurrizespor.org.tr/
Örebro SK,112162645462690,3594,0,Sports Team,https://www.facebook.com/pages/%C3%96rebro-SK/112162645462690
Östersunds FK,168885829820963,18129,2645,Sports Team,https://www.facebook.com/Ostersundsfk/
Újpest FC (hivatalos),124296397630544,35176,1518,Sports Team,https://www.facebook.com/ujpestfootballclub/
WKS Śląsk Wrocław SA,274821975008,230980,4120,Sports Team,https://www.facebook.com/slaskwroclawpl/
FO ŽP Šport Podbrezová,308826779146270,5010,116,Sports Team,https://www.facebook.com/FO-ŽP-Šport-Podbrezová-308826779146270/
