query,facebook_name,facebook_id,twitter_name,twitter_id,instagram_name,instagram_id
Deportivo La Coruña,Real Club Deportivo de La Coruña,128412400518120,RCDeportivo,150581068,rcdeportivo,1753208541
Dijon FCO,Dijon FCO,108252249205418,DFCO_Officiel,84288520,dijonfco,1918998066
EA Guingamp,enavantdeguingamp,140606675990988,EAGuingamp,351069799,eaguingamp,1959102961
Eintracht Frankfurt,Eintracht Frankfurt,996959130390687,Eintracht,120127817,eintrachtfrankfurt,424094009
Empoli FC,Empoli Fc Official,1441551352798710,EmpoliCalcio,2650674570,empoli_fc_official,1428564054
Espanyol Barcelona,RCD Espanyol,322865159833,RCDEspanyol,114516774,rcdespanyol,294876541
Everton FC,Everton Football Club,56909226276,Everton,15891449,everton,183657660
FC Augsburg,FC Augsburg,1649351111992671,FCAugsburg,425850229,fcaugsburg1907,1230861604
FC Barcelona,FC Barcelona,197394889304,FCBarcelona_es,112764971,fcbarcelona,260375673
FC Crotone,F.C. Crotone,159119660791615,FcCrotoneOff,2754914498,fccrotoneoff,1652159848
FC Ingolstadt 04,FC Ingolstadt 04,201239353064,Schanzer,86272639,dieschanzer,201884789
FC Lorient,FC Lorient,129677837090824,FCLorient,338891581,fclorient,437821172
FC Metz,FC Metz,189000507857,FCMetz,596230054,fcmetz,365402172
FC Nantes,FC Nantes,246075005477935,FCNantes,804263442,fcnantes,1249132728
FC Schalke 04,FC Schalke 04,785051031526187,s04_en,2483668285,s04,456497772
Genoa CFC,Genoa CFC,155465667797695,GenoaCFC,319086477,genoacfcofficial,1558247293
Girondins Bordeaux,FC Girondins de Bordeaux,130890383602119,girondins,154586685,girondins,728672449
Granada CF,Granada CF,191397207587097,GranadaCdeF,188263011,granadacf,1485747183
Hamburger SV,Hamburger SV,105680399466437,HSV,174160697,hsv,235263550
Hertha BSC,Hertha BSC,174184647568,HerthaBSC,105085224,herthabsc,609922455
Hull City,hulltigersofficial,258479264536,HullCity,104450912,hullcity,311228789
Inter,Inter,139132459470235,Inter,124450567,inter,627042080
Juventus,Juventus,171522852874952,juventusfcen,1638021792,juventus,194317179
Lazio Roma,SSLazioOfficialPage,137861922991302,OfficialSSLazio,424354829,official_sslazio,516030401
Leicester City,Leicester City Football Club,324520502768,LCFC,122392884,lcfc,311256838
Lille OSC,Lille OSC,112499452095137,FF_LOSC,232143631,lillefc,1968712665
Liverpool FC,Liverpool FC,67920382572,LFC,19583545,liverpoolfc,187102427
Manchester City,Manchester City,208411345454,ManCity,14573900,mancity,5880761
Manchester United,Manchester United,7724542745,ManUtd,558797310,manchesterunited,491527077
Middlesbrough FC,Middlesbrough FC,386636354690970,Boro,370631455,middlesbroughfc,4345529249
Montpellier HSC,Montpellier HSC,103134349726161,MontpellierHSC,125332632,montpellierhsc_99,1493042861
Málaga CF,Málaga CF,116654715047032,MalagaCF,48961075,malagacf,2283262112
OGC Nice,OGC Nice,102714646451500,ogcnice,329683737,ogcnice,39498051
Olympique Lyon,Olympique Lyonnais - OL,250938593971,OL__1950,1095081139,ol,14668706
Olympique Marseille,Olympique de Marseille,1894151597502757,OM_Officiel,40448264,olympiquemarseille,2247317303
Paris Saint-Germain,PSG - Paris Saint-Germain,139594698297,PSG_inside,38164846,psg,232024162
Pescara Calcio,Pescara Calcio,230864470334776,PescaraCalcio,482317995,pescaracalcio1936,1465604573
RB Leipzig,RB Leipzig,260024704433346,DieRotenBullen,324992991,rb.leipzig,1459398840
Real Betis,Real Betis Balompié,171931856195395,RealBetis,296756458,realbetisbalompie,38449316
Real Madrid,Real Madrid C.F.,19034719952,realmadrid,14872237,realmadrid,290023231
Real Sociedad,Real Sociedad de Fútbol,302193069794158,RealSociedadEN,2696177462,realsociedad,1649662308
SC Bastia,Sporting Club Bastiais,200937436616402,SCBastia,269497836,scbastia,1045011976
SC Freiburg,SC Freiburg,171700106213736,scfreiburg,41323269,scfreiburg,3416687655
SD Eibar,SD Eibar,29975688107,SDEibar,442869924,sdeibar,1776612072
SM Caen,SMC | Stade Malherbe Caen,237927042913045,SMCaen,991071265,smcaen,1962207914
SSC Napoli,SSC Napoli,114983868535196,sscnapoli,454873450,officialsscnapoli,460993888
SV Darmstadt 98,SV Darmstadt 98,112455528770296,sv98,21283319,svdarmstadt98,362168468
Sampdoria,U.C. Sampdoria,203121013117037,sampdoria,491355440,unionecalciosampdoria,449081061
Sassuolo Calcio,U.S. Sassuolo,204365122920646,SassuoloUS,494931397,sassuolocalcio,265407157
Sevilla FC,Sevilla FC,478313642333770,SevillaFC_ENG,2941994339,sevillafc,2916795
Southampton FC,Southampton FC,220396037973624,SouthamptonFC,46143892,southamptonfc,215342362
Sporting Gijón,Real Sporting de Gijón,257285550951760,Sporting_Gijon,70416545,realsporting,2951534925
Stade Rennais,staderennais,8023141388,staderennais,20447193,staderennaisfc,217949117
Stoke City,Stoke City Football Club,28928779637,stokecity,44335177,stokecity,182972429
Sunderland AFC,Sunderland AFC,118389841508479,SunderlandAFC,27844464,sunderlandafcofficial,272695414
Swansea City,Swansea City Football Club,87328379939,Swanseacity_esp,1617426384,swansofficial,436376966
Torino FC,Torino F.C.,16002319067,TorinoFC_1906,539085035,torinofc.fanpage,1902147371
Tottenham Hotspur,Tottenham Hotspur,351687753504,SpursOfficial,121402638,spursofficial,253098573
Toulouse FC,Toulouse Football Club,73016258999,ToulouseFC,47902100,toulousefc,207549692
UD Las Palmas,Unión Deportiva Las Palmas,104265099635961,UDLP_Oficial,156998330,udlaspalmasoficial,6486809
US Palermo,U.S. Città di Palermo,166568983417982,palermocalcioit,1528351116,palermocalcioit,463652621
Udinese Calcio,Udinese Calcio 1896,203723619667632,Udinese_1896,298038413,udinesecalcio,49891164
