date,ACMilan,AtleticodeMadrid,Chelsea-FC,Juventus,RealMadrid,fcbarcelona,fcbayern,fcbayern.en,manchesterunited
2015-05-11,21187288,9591523,35494409,8955904,69226108,69506310,5582596,17607347,54992750
2015-05-12,21196007,9599358,34255821,8969022,69273013,69565792,4711315,17994404,55021530
2015-05-13,21200389,9604250,32322097,8980999,69302289,69643740,4713850,18114303,55034863
2015-05-14,21207720,9612133,31899613,9030766,69378072,69706088,4714805,18142182,55054604
2015-05-15,21214644,9620322,31916782,9072342,69422647,69763596,4715799,18159137,55075447
2015-05-16,21221116,9627211,31932060,9069551,69456831,69809906,4716668,18174033,55093487
2015-05-17,21226105,9632173,31942699,9072743,69485996,69842371,4710041,18186347,55107256
2015-05-18,21233785,9644118,31959289,9037737,69521787,69929012,4624288,18204232,55136778
2015-05-19,21240638,9651777,31972511,8993855,69553319,69985096,3834548,18608126,55157125
2015-05-20,21246738,9659597,31985155,8936281,69584040,70032354,3760447,18684570,55176346
2015-05-21,21255572,9669106,32004391,8902908,69632681,70103077,3688228,18725673,55206654
2015-05-22,21259350,9672681,32012595,8913322,69647958,70131049,3689251,18745411,55218933
2015-05-23,21263429,9676431,32322429,8658400,69665954,70163907,2617719,19101037,55232716
2015-05-24,21268972,9683282,32336554,8586972,69706634,70227817,2619375,19127789,55258000
2015-05-25,21272336,9688017,32355171,8596873,69730332,70267148,2619825,19207856,55273021
2015-05-26,21279050,9695872,32375101,8611200,69775642,70330684,2503427,19273116,55299922
2015-05-27,21279496,9698301,32382076,8621415,69779314,70342727,2504639,19274578,55304079
2015-05-28,21283527,9704514,32393887,8630407,69810478,70389133,2503608,19304964,55324537
2015-05-29,21286685,9709023,32403389,8641224,69832247,70422050,2504807,19328344,55339480
2015-05-30,21289436,9713651,32411502,8651517,69853231,70455306,2505538,19351303,55353237
2015-05-31,21292255,9718651,32421020,8662031,69873366,70505986,2506284,19374483,55364990
2015-06-01,21294962,9723088,32428938,8671405,69892750,70546141,2507140,19388831,55377247
2015-06-02,21298605,9727822,32482649,8685080,69915565,70583632,2511573,19472606,55391979
2015-06-03,21302013,9732401,32490427,8689528,69935782,70617709,2512100,19478260,55404447
2015-06-04,21305042,9736653,32496324,8695469,69954443,70656974,2512699,19485826,55414885
2015-06-05,21308280,9740726,32504793,8706551,69976256,70688646,2513341,19494742,55428464
2015-06-06,21312031,9744955,32515868,8720222,69999994,70737242,2514034,19518904,55445272
2015-06-07,21315696,9748707,32523689,8964652,70016375,70864564,2514545,19534797,55456249
2015-06-08,21321479,9753761,32534420,9095165,70043827,70949122,2515126,19559385,55473224
2015-06-09,21324957,9757065,32549598,9108388,70062879,71000575,2512649,19590060,55484801
2015-06-10,21326559,9759222,32553590,9114086,70074189,71033611,2512983,19603166,55489274
2015-06-11,21330956,9762730,32561137,9119122,70097683,71083610,2513120,19621093,55497733
2015-06-12,21333775,9765261,32566817,9127317,70109892,71105446,2513853,19640209,55505141
2015-06-13,21336570,9768663,32575781,9134827,70126599,71131880,2514648,19658314,55516512
2015-06-14,21340740,9773130,32587620,9144071,70153112,71173257,2515246,19682270,55532661
2015-06-15,21342900,9775890,32595319,9150850,70168655,71195914,2515901,19699932,55542779
2015-06-16,21346827,9780659,32612932,9165322,70198920,71237666,2515244,19734312,55559756
2015-06-17,21350300,9783997,32622302,9171847,70216882,71262312,2516083,19751366,55570403
2015-06-18,21351754,9786951,32628848,9177189,70229074,71278449,2516489,19763945,55577410
2015-06-19,21356296,9791352,32637790,9183115,70257619,71314681,2516894,19787910,55590607
2015-06-20,21356378,9793150,32640499,9186331,70266743,71327357,2517077,19800829,55593881
2015-06-21,21357331,9795500,32643305,9189795,70274881,71339751,2517416,19812761,55596026
2015-06-22,21359970,9799052,32652521,9196646,70293143,71360596,2518198,19830639,55606765
2015-06-23,21361830,9801800,32661356,9204767,70301363,71370559,2519017,19842501,55614574
2015-06-24,21364760,9805306,32668719,9212345,70322684,71398215,2519670,19868297,55625636
2015-06-25,21367011,9808489,32674346,9219623,70333032,71414622,2520265,19886412,55632459
2015-06-26,21367974,9810592,32745381,9226047,70339457,71425761,2520731,19903239,55635978
2015-06-27,21370776,9814176,32756175,9237657,70357548,71451215,2518324,19941481,55643220
2015-06-28,21373275,9817535,32764090,9241116,70370293,71467326,2519126,19961801,55651773
2015-06-29,21374340,9819631,32766598,9242149,70375752,71476959,2519536,19977883,55654239
2015-06-30,21377429,9822706,32772260,9243491,70388889,71494073,2519984,19996768,55661967
2015-07-01,21379525,9825810,32776074,9245170,70396530,71504354,2520620,20000423,55665517
