team_name,team_tw_name,tw_id,url,created_at,followers,statuses
Arsenal FC,Arsenal,34613288,http://t.co/UIrobeqGYG,2009-04-23,9674287,71696
Arsenal Tula,ArsenalTulaTV,1327983504,http://t.co/4tuKeAKBPE,2013-04-04,228,1030
Ascoli Picchio FC,AscoliPicchio,2611410578,https://t.co/HKgBv1xBSr,2014-07-08,5100,2170
Asteras Tripolis,tripolisasteras,1234622136,None,2013-03-02,8,1
Aston Villa,AVFCOfficial,27489253,https://t.co/kRWeqTJOkC,2009-03-29,945050,49470
Astra Giurgiu,astragiurgiu,3449441003,https://t.co/2vSh3fMtSb,2015-08-26,376,307
Atalanta,Atalanta_BC,338995273,https://t.co/78RSHbBkqU,2011-07-20,224458,21341
Athletic Bilbao,AthleticBilbao,20342284,http://t.co/33mIC8A3a0,2009-02-08,13054,57891
Atiker Konyaspor,konyaspor,957512191,https://t.co/xi9rDm3TDM,2012-11-19,141850,6895
Atlético Madrid,Atleti,199354750,https://t.co/fpBYkvrSQN,2010-10-06,2940624,49071
Atromitos,atromitos1923,275441658,https://t.co/HRUQmkchLD,2011-04-01,2233,3264
Austria Wien,FKAustriaWien,23290746,https://t.co/xijBB4P6LD,2009-03-08,13872,19661
Ayr United,AyrUnitedFC,144441459,http://t.co/IbACaBQ47E,2010-05-16,8216,4409
BK Häcken,Egbuchulam11,745396413513752577,None,2016-06-21,1225,114
Barnsley FC,bfc_official,115640722,https://t.co/fSIDZr4q1j,2010-02-19,77091,35017
Bayer Leverkusen,KimoBellarabi,590931184,https://t.co/nJON4kUj2J,2012-05-26,30230,457
Bayern München,info_bayern,1549150208,None,2013-06-26,2361,1117
Benevento Calcio,bncalcio,812265993196146688,https://t.co/i4Rgd0ukLN,2016-12-23,974,270
Beşiktaş,Besiktas,259758878,https://t.co/VBKMNGkp7w,2011-03-02,2314784,36175
Birmingham City,BCFC,60854650,https://t.co/W5tw1itYFA,2009-07-28,194001,49672
Blackburn Rovers,Rovers,20436307,https://t.co/5AkpnpEcAw,2009-02-09,159334,47509
Boavista,boavistaoficial,44725405,http://t.co/mPleIRfWiE,2009-06-04,18495,1178
Bohemians 1905,bohemians1905GB,2442377249,http://t.co/2Pg1ooLkEX,2014-03-28,229,2855
Bologna FC,BfcOfficialPage,634434718,https://t.co/2rhzE0gB2y,2012-07-13,127740,8330
Bor. Mönchengladbach,NaN,NaN,NaN,NaN,NaN,NaN
Borussia Dortmund,BVB,165699676,https://t.co/PtAcDlwxqW,2010-07-12,2656050,62493
Brentford FC,BrentfordFC,103036163,http://t.co/bhqPalJfeJ,2010-01-08,73572,47528
Brescia Calcio,BresciaOfficial,632030795,http://t.co/kIZFuPNyCS,2012-07-10,14025,5487
Brighton & Hove Albion,OfficialBHAFC,57606154,https://t.co/Hmah6QL3ad,2009-07-17,119763,41938
Bristol City,bcfctweets,104167025,https://t.co/eHDQN7j5S9,2010-01-12,102682,38236
Brøndby IF,BrondbyIF,27618169,https://t.co/dnjsdW4oBQ,2009-03-30,24816,12201
Budapest Honvéd,bphonved,252527629,http://t.co/nobjXDyEKZ,2011-02-15,1389,4309
Budapesti Vasas,NaN,NaN,NaN,NaN,NaN,NaN
Burnley FC,BurnleyOfficial,441309926,https://t.co/T4y5Xzn0kO,2011-12-19,242426,55710
Bursaspor,BursasporSk,208957122,http://t.co/t72nEv0GU4,2010-10-28,384979,12264
Burton Albion,burtonalbionfc,41101699,https://t.co/oG61vi7V0K,2009-05-19,54634,25393
CA Osasuna,Osasuna1920,71768539,None,2009-09-05,5404,13937
CD Alavés,NaN,NaN,NaN,NaN,NaN,NaN
CD Feirense,CDFeirense1918,2611733504,http://t.co/TyzwpCIcTM,2014-07-08,446,0
CD Leganés,samuel7garcia,780289386,None,2012-08-25,30281,1818
CD Lugo,David_Lopez_7,291266598,None,2011-05-01,51420,2953
CD Mirandés,CDMirandes,179157105,https://t.co/cHRCjFUAQK,2010-08-16,53480,20431
CD Nacional,CDNacionalPeru,2172985224,None,2013-11-03,2,0
CD Numancia,kike_sola,279645924,None,2011-04-09,63057,3098
CD Tenerife,CDTOficial,608154553,https://t.co/JQajbKwVED,2012-06-14,110917,34636
CD Tondela,CDTondela1933,619222298,http://t.co/TbZ0g9pBRN,2012-06-26,5618,4051
