team_name,team_tw_name,tw_id,url,created_at,followers,statuses
PAOK Saloniki,1962Paok,3143215401,None,2015-04-07,3,0
PAS Giannina,PASGianninaFC,784540998,https://t.co/TbLR8X0oZg,2012-08-27,1616,931
PEC Zwolle,PECZwolle,317792090,https://t.co/ce9L4xS0Az,2011-06-15,48915,20201
PSV Eindhoven,PSV,140414719,http://t.co/0nE4pl2yAB,2010-05-05,347060,36663
Paksi SE,NaN,NaN,NaN,NaN,NaN,NaN
Panathinaikos,paobcgr,279100391,http://t.co/tYMVEE6CE1,2011-04-08,44182,27955
Pandurii Târgu Jiu,panduriics,2281168446,https://t.co/L1YtUZqYhV,2014-01-07,372,3346
Panetolikos,FC_Panetolikos,3301485340,https://t.co/MtZvFcObzb,2015-05-28,474,1098
Panionios GSS,IPolimos2,2189043725,None,2013-11-20,711,229
Paris Saint-Germain,PSG_inside,38164846,https://t.co/g266nQXmqR,2009-05-06,4433604,41560
Partick Thistle,ThistleTweet,205333140,http://t.co/kZUAm1NlVv,2010-10-20,19164,26741
Paços de Ferreira,fcpf,39867990,http://t.co/V9h1jVSRHW,2009-05-13,7975,4865
Pescara Calcio,PescaraCalcio,482317995,http://t.co/7dp1659VqH,2012-02-03,45263,6023
Piast Gliwice,PiastGliwiceSA,1474757335,http://t.co/nxvaktd6QE,2013-06-01,8550,4488
Platanias Chanion,NaN,NaN,NaN,NaN,NaN,NaN
Pogoń Szczecin,PogonSzczecin,249576782,http://t.co/lZIhnVJnth,2011-02-09,13430,13403
Preston North End,pnefc,17191889,https://t.co/XPHYdYywdt,2008-11-05,70286,36113
Pro Vercelli,ProVercelli1892,633814316,https://t.co/ixUykuuyql,2012-07-12,12114,28169
Queen Of The South,OfficialQosFC,161325002,http://t.co/ooTiM9w7wJ,2010-06-30,10089,15949
Queens Park Rangers,QPR_FC,225332259,http://t.co/v655MJSO23,2010-12-11,4864,4743
RB Leipzig,DieRotenBullen,324992991,https://t.co/y7lZ7yqGqv,2011-06-27,96393,40519
RB Salzburg,ReneMaric,593071659,https://t.co/eP4nZrGePk,2012-05-28,13029,15181
RC Lens,karimhafez23,4800357494,https://t.co/uvh5ntV0op,2016-01-22,11455,397
RC Strasbourg,RCSA,627377507,http://t.co/ZL4U0pyJEy,2012-07-05,67516,16920
RCD Mallorca,RCD_Mallorca,234298046,https://t.co/VSZ6coMy9W,2011-01-05,170256,19307
RNK Split,NaN,NaN,NaN,NaN,NaN,NaN
RSC Anderlecht,rscanderlecht,71287752,https://t.co/TU9o8NExcX,2009-09-03,108874,24817
Raith Rovers,RaithRovers_FC,499748402,http://t.co/DEMG4yqlQg,2012-02-22,13216,6026
Randers FC,eb_randersfc,58449002,http://t.co/Gs1imF0nQm,2009-07-20,733,984
Rangers FC,RangersFC,351838853,https://t.co/3GUS6jchQr,2011-08-09,325076,51968
Rapid Wien,skrapid,418504753,https://t.co/qDJpPcibaT,2011-11-22,18238,27573
Rayo Vallecano,RVMOficial,498012129,http://t.co/BDbhtwVB2H,2012-02-20,335918,26344
Reading FC,ReadingFC,147919630,https://t.co/1y8nH5ETg9,2010-05-25,240005,78499
Real Betis,RealBetis,296756458,http://t.co/8lYlzCDdn3,2011-05-11,447341,53210
Real Madrid,realmadrid,14872237,http://t.co/VGvV5OwvOJ,2008-05-22,22949013,56222
Real Oviedo,RealOviedo,263843269,http://t.co/mgaDT26Moz,2011-03-10,182481,31447
Real Sociedad,RealSociedadEN,2696177462,https://t.co/P9DvsmxzII,2014-07-31,14301,3108
Real Valladolid,realvalladolid,42411789,https://t.co/PV4FE3pRcO,2009-05-25,219299,26826
Real Zaragoza,RealZaragoza,480382619,http://t.co/t5V5tzH2Ig,2012-02-01,197488,30581
Red Star FC,RedStarFC,87798769,https://t.co/GEuqiZTKaQ,2009-11-05,17297,7137
Rio Ave FC,RioAve_FC,342227411,https://t.co/Y5ayvjwQxe,2011-07-25,12958,7770
Roda JC Kerkrade,rodajckerkrade,65515536,http://t.co/bWT5j5c0hH,2009-08-14,35170,19319
Ross County FC,RCFCStaggies,2611353673,https://t.co/prQLo7PUht,2014-07-08,8530,5081
Rotherham United,OfficialRUFC,382122569,http://t.co/KJsb7txfmL,2011-09-29,61247,32293
Royal Mouscron-Péruwelz,NaN,NaN,NaN,NaN,NaN,NaN
Rubin Kazan,RubinKazanUK,1345092823,https://t.co/AbrXchTfqQ,2013-04-11,1914,14407
Ruch Chorzów,ruchchorzow1920,1203983084,http://t.co/gBF6iDrCzs,2013-02-21,11240,17439
SBV Excelsior,StrijdenWinnen,184861469,http://t.co/GN9kTx48Id,2010-08-30,63,15
SC Bastia,SCBastia,269497836,https://t.co/24ZgTIT9OM,2011-03-20,273308,18190
SC Freiburg,scfreiburg,41323269,https://t.co/ovYiFkTgYg,2009-05-20,174717,3297
SCR Altach,SCRAltach,478046116,http://t.co/hjgyI9gBgG,2012-01-29,2965,6547
SD Eibar,SDEibar,442869924,https://t.co/7KP1eMSvm6,2011-12-21,145599,23535
SD Huesca,SDHuesca,97429809,https://t.co/PXGS4qjKUS,2009-12-17,47238,11272
SKN St. Pölten,NaN,NaN,NaN,NaN,NaN,NaN
SL Benfica,SLBenfica,21390437,https://t.co/SphA3l3Kyp,2009-02-20,974807,54638
SM Caen,SMCaen,991071265,https://t.co/IrkwDiSP1H,2012-12-05,137414,40531
SPAL 2013 Ferrara,NaN,NaN,NaN,NaN,NaN,NaN
SSC Napoli,sscnapoli,454873450,http://t.co/lp9lRm0Cf3,2012-01-04,1055765,25190
SV Darmstadt 98,sv98,21283319,https://t.co/xWnkNiPnOL,2009-02-19,67050,17609
SV Mattersburg,SV_Mattersburg,707852810,https://t.co/6bSZzNdZq4,2012-07-20,1335,2216
SV Ried,svried1912,310148604,http://t.co/qdHj4K2zJm,2011-06-03,3626,4395
SV Sandhausen,SV_Sandhausen,934744224,http://t.co/AAzqWllYMC,2012-11-08,28695,2428
SV Zulte Waregem,ESSEVEELIVE,55797610,http://t.co/VeYVXr4FPu,2009-07-11,15887,14353
Sampdoria,sampdoria,491355440,http://t.co/MqyYANojwQ,2012-02-13,271017,29097
Sassuolo Calcio,SassuoloUS,494931397,http://t.co/Av2cQK3ub3,2012-02-17,214680,9074
Sevilla Atlético,PortalSevillaAT,358292670,https://t.co/Bnt9WlJTba,2011-08-19,13229,7530
Sevilla FC,SevillaFC_ENG,2941994339,None,2014-12-26,33703,5784
Sheffield Wednesday,swfc,6448082,http://t.co/sSOPVfk977,2007-05-30,202068,38567
Silkeborg IF,eb_silkeborg,58449454,http://t.co/sJe4By4Qa3,2009-07-20,390,800
Sint-Truidense VV,StefPeeters8,1183096321,https://t.co/jbzfFSgp4s,2013-02-15,188,37
Skoda Xanthi,skodaxanthifc,183654535,http://t.co/fBZ3IStA62,2010-08-27,440,6
Slaven Belupo,SlavenBelupokc,2899243236,None,2014-11-14,199,509
Slavia Praha,slaviaofficial,523168435,http://t.co/fJniGPrOoh,2012-03-13,10171,13559
Slovan Bratislava,hcslovanba,304531080,https://t.co/9NWuBGOGwX,2011-05-24,11112,6950
Slovan Liberec,FCSlovanLiberec,1417658240,http://t.co/NJEnoL78xo,2013-05-10,2944,4382
Southampton FC,SouthamptonFC,46143892,https://t.co/Q04oATe2PV,2009-06-10,734120,69632
SpVgg Greuther Fürth,megyo42,577399858,None,2012-05-11,8513,562
Sparta Praha,ACSparta_CZ,95064401,http://t.co/txS95YIzmh,2009-12-06,20538,18429
Sparta Rotterdam,SpartaRotterdam,217192072,http://t.co/WKaogxbKnq,2010-11-18,15041,10842
Spartak Moskva,SPARTAKM0SKVA,2696639048,None,2014-07-31,20,46
Spartak Trnava,FCSpartakTrnava,245370901,http://t.co/ZynEaT6TnM,2011-01-31,1369,2296
Spezia Calcio,acspezia,134578975,https://t.co/IOe4Mx1M3K,2010-04-18,15027,20237
Sporting Braga,Rodricontreraas,384973452,None,2011-10-04,16454,3216
Sporting CP,Sporting_CP,21389998,http://t.co/PFPT8p0BZC,2009-02-20,580806,64910
Sporting Charleroi,karel_geraerts,815851340,None,2012-09-10,6806,2374
Sporting Gijón,Sporting_Gijon,70416545,None,2009-08-31,42184,16442
Sporting Lokeren,KSCLokeren,232890256,https://t.co/QfVciwx4gh,2011-01-01,15349,4525
St. Johnstone FC,St_Johnstone_FC,318484108,https://t.co/Hs9uJnrK5p,2011-06-16,26493,23124
St. Mirren FC,saintmirrenfc,172044722,https://t.co/ngMswfnlZJ,2010-07-28,19467,22183
Stade Brest,NaN,NaN,NaN,NaN,NaN,NaN
Stade Laval,sln_natation,3309435442,http://t.co/9hxjMVT5yA,2015-06-05,8,7
Stade Reims,Stade2Reims,104856684,http://t.co/ToJF56pj3M,2010-01-14,815,1096
Stade Rennes,StadeRennesFoot,594858366,None,2012-05-30,426,7
Standard Liège,R3Rocha,615274676,None,2012-06-22,9942,1332
Steaua Bucureşti,FCSB_OFFICIAL,191406424,http://t.co/GYdfRI8Xy5,2010-09-16,3272,12
Stoke City,stokecity,44335177,https://t.co/kp6ExfAUzU,2009-06-03,707042,29206
Sturm Graz,SKSturm,18016395,http://t.co/uANepnlYcH,2008-12-10,8014,9236
Sunderland AFC,SunderlandAFC,27844464,https://t.co/yhBYs322HQ,2009-03-31,680240,57625
Swansea City,SwansOfficial,472385266,https://t.co/oSJ665GSpc,2012-01-23,706478,36549
Szombathelyi Haladás,NaN,NaN,NaN,NaN,NaN,NaN
SønderjyskE,eb_sonderjyske,58458532,http://t.co/O8m9RWrH4K,2009-07-20,523,990
TSV 1860 München,1860_UK,753673464,None,2012-08-12,990,2600
Tatran Prešov,HT_TatranPresov,2794084016,None,2014-09-06,178,25
Terek Grozny,fcterek,110562935,https://t.co/WP91VD6roH,2010-02-02,80998,7502
Termalica Bruk-Bet Nieciecza,NaN,NaN,NaN,NaN,NaN,NaN
Ternana Calcio,TernanaCalcioF,614611328,https://t.co/ZlxuWSfUlC,2012-06-21,898,823
Torino FC,TorinoFC_1906,539085035,https://t.co/4g7nTwblDV,2012-03-28,289816,13003
Tottenham Hotspur,SpursOfficial,121402638,http://t.co/V8cMqMD5BA,2010-03-09,1930538,67106
Toulouse FC,ToulouseFC,47902100,https://t.co/UoHuT2arkj,2009-06-17,411687,46189
Tours FC,ToursFC,978599220,https://t.co/aEtJZTFMiV,2012-11-29,31433,6670
Trabzonspor,Trabzonspor,137957360,https://t.co/6iPij1UyWB,2010-04-28,864517,22541
Trapani Calcio,TrapaniCalcio,1598831546,https://t.co/VS5u7TYtaz,2013-07-16,12958,15122
UCAM Murcia CF,tito_ortiz6,271975692,None,2011-03-25,805,735
UD Almería,U_D_Almeria,288813824,https://t.co/5IyLx5gJjR,2011-04-27,159091,25307
UD Las Palmas,UDLP_Oficial,156998330,None,2010-06-18,204412,47225
US Avellino,US_Avellino1912,1613928331,http://t.co/USZoy0sJgy,2013-07-22,10684,1574
US Orléans,US_Orleans,1699343959,https://t.co/FIIEsCtttc,2013-08-25,17432,10623
US Palermo,RepUsPalermo,388491459,http://t.co/zTn6mzEVUg,2011-10-10,28732,2304
US Salernitana 1919,OfficialUSS1919,2371100150,http://t.co/acuvTXav7N,2014-03-03,7261,5492
Udinese Calcio,Udinese_1896,298038413,https://t.co/erjpvpe172,2011-05-13,243223,33019
Valencia CF,valenciacf,109312021,http://t.co/QA8g5bgikq,2010-01-28,931618,68925
Valenciennes FC,VAFC,245726871,http://t.co/L6YK7qVP4P,2011-02-01,101916,21865
Veria FC,VeriaFC,869654760,http://t.co/uncVNUThGy,2012-10-09,1543,1105
VfB Stuttgart,VfB,138401594,http://t.co/4Vf1uvkBh6,2010-04-29,380841,21582
VfL Bochum,VfLBochum1848eV,61141639,http://t.co/DnqSI7nVaI,2009-07-29,81617,18385
VfL Wolfsburg,VfL_Wolfsburg,15915062,http://t.co/GlWZQin2vO,2008-08-20,223997,21617
Viborg FF,ivan_george6,707342461,None,2012-07-20,1424,214
Vicenza Calcio,VicenzaCalcio,1245934224,http://t.co/aMFrItqjE1,2013-03-06,11521,8796
Videoton FC,VideotonFC,138039098,http://t.co/b8VudJeTPz,2010-04-28,1907,7228
Viktoria Plzeň,fcviktorkaplzen,861322412,https://t.co/YdmXndmjJQ,2012-10-04,12926,6738
Villarreal CF,VillarrealCF,46862437,https://t.co/XG2Gh0USgN,2009-06-13,334871,57302
Virtus Entella,V_Entella,2282658475,http://t.co/AqbsHEILF2,2014-01-08,10848,6976
Vitesse,MijnVitesse,161319341,http://t.co/dKz5DkoJLY,2010-06-30,54089,26441
Vitória Guimarães,marega91,419879646,https://t.co/cEQ34wFyJ4,2011-11-23,3906,9583
Vitória Setúbal,vsetubalFC1910,799525687606607873,None,2016-11-18,1122,529
Vysočina Jihlava,fcvysocina,282536270,http://t.co/SuMqR7P2qC,2011-04-15,2570,1963
Waasland-Beveren,WaaslandBeveren,145803645,http://t.co/fN2gq5r93P,2010-05-19,10316,11573
Watford FC,WatfordFC,226590250,http://t.co/caFCv17z9m,2010-12-14,311944,31360
Werder Bremen,werderbremen,14843692,https://t.co/FXlSHmMhbD,2008-05-20,354935,35928
West Bromwich Albion,WBA,280412626,http://t.co/rZ9PrdbIP7,2011-04-11,602069,34639
West Ham United,WestHamUtd,156247074,https://t.co/wvhJQDtf8t,2010-06-16,1101533,77008
Wigan Athletic,LaticsOfficial,21079235,https://t.co/PX4dsBAPZM,2009-02-17,225429,41878
Willem II,WillemII,234303966,https://t.co/3488PwqoRi,2011-01-05,24821,18274
Wisła Kraków,WislaKrakowSA,617878579,http://t.co/yQHS7EHFnx,2012-06-25,18068,7421
Wisła Płock,WislaPlockSA,3647076193,https://t.co/NsSCBCdNk9,2015-09-22,2752,2657
Wolfsberger AC,WolfsbergerAC,446465372,https://t.co/ZEyZvZqsLp,2011-12-25,5395,19198
Wolverhampton Wanderers,Wolves,49296276,https://t.co/cSeCO3Mvm1,2009-06-21,200860,82822
Würzburger Kickers,NaN,NaN,NaN,NaN,NaN,NaN
Zagłębie Lubin,ZaglebieLubin,342020320,http://t.co/ked2Yqztp9,2011-07-25,7180,4867
Zenit St. Petersburg,fczenit_de,2243628728,http://t.co/yB1HOYAKUd,2013-12-13,4528,1256
Zlate Moravce,ZM_info,393587857,http://t.co/QudJ779RVd,2011-10-18,36,3172
sc Heerenveen,scHeerenveen,23942888,https://t.co/BJA1430Q6Z,2009-03-12,65487,33415
Çaykur Rizespor,CRizesporAS,532953809,https://t.co/Fuet0xLZxs,2012-03-22,46194,8881
Örebro SK,Munster_Coach,102689896,https://t.co/GEm2X4z6nr,2010-01-07,33339,4424
Östersunds FK,ostersunds_fk,823124632278626304,None,2017-01-22,0,0
Újpest FC,ujpestfc1885,626413689,http://t.co/OEKBjNeRFq,2012-07-04,2270,3041
Śląsk Wrocław,SlaskWroclawPl,529378469,http://t.co/zqcYGvPtYa,2012-03-19,15984,11628
ŽP Šport Podbrezová,NaN,NaN,NaN,NaN,NaN,NaN
